date,hub,n_flights,n_operating,n_cancelled,n_diverted,cancel_rate,divert_rate,avg_dep_delay,avg_arr_delay,frac_delay_30,frac_delay_60,avg_weather_delay,pct_weather_delay,avg_nas_delay,pct_nas_delay,avg_carrier_delay,pct_carrier_delay,avg_late_aircraft_delay,pct_late_aircraft_delay
2021-01-01,ATL,591,584,7,1,0.011844331641285956,0.001692047377326565,7.607876712328767,2.7551369863013697,0.09931506849315068,0.0410958904109589,0.3373287671232877,0.010273972602739725,1.1130136986301369,0.07363013698630137,3.703767123287671,0.1267123287671233,2.585616438356164,0.06335616438356165
2021-01-02,ATL,822,821,1,2,0.0012165450121654502,0.0024330900243309003,6.522533495736906,2.348355663824604,0.08647990255785627,0.0341047503045067,0.9671132764920828,0.0048721071863581,1.0182704019488429,0.06211936662606577,3.612667478684531,0.09622411693057248,1.5542021924482339,0.048721071863580996
2021-01-03,ATL,853,853,0,1,0.0,0.0011723329425556857,9.82883939038687,8.514654161781946,0.1242672919109027,0.0492379835873388,0.0,0.0,1.8792497069167644,0.1488862837045721,5.705744431418523,0.16764361078546308,3.5849941383352872,0.11371629542790153
2021-01-04,ATL,831,825,6,1,0.007220216606498195,0.0012033694344163659,15.395151515151515,13.16969696969697,0.14666666666666667,0.08606060606060606,1.195151515151515,0.0024242424242424242,8.031515151515151,0.13333333333333333,3.7636363636363637,0.10303030303030303,4.090909090909091,0.06181818181818182
2021-01-05,ATL,677,676,1,3,0.0014771048744460858,0.004431314623338257,1.9970414201183433,-4.105029585798817,0.03550295857988166,0.020710059171597635,0.8624260355029586,0.0029585798816568047,0.6079881656804734,0.029585798816568046,1.6227810650887573,0.04142011834319527,0.4630177514792899,0.010355029585798817
2021-01-06,ATL,687,686,1,1,0.001455604075691412,0.001455604075691412,-1.7478134110787171,-8.887755102040817,0.018950437317784258,0.0014577259475218659,0.0,0.0,0.814868804664723,0.033527696793002916,0.7944606413994169,0.023323615160349854,0.05830903790087463,0.0029154518950437317
2021-01-07,ATL,771,771,0,1,0.0,0.0012970168612191958,-0.6018158236057068,-9.6757457846952,0.0311284046692607,0.01297016861219196,0.02594033722438392,0.0012970168612191958,0.44487678339818415,0.028534370946822308,1.7263294422827498,0.042801556420233464,0.29701686121919585,0.007782101167315175
2021-01-08,ATL,770,768,2,4,0.0025974025974025974,0.005194805194805195,15.696614583333334,9.32421875,0.19791666666666666,0.11848958333333333,0.12630208333333334,0.0026041666666666665,1.9596354166666667,0.07161458333333333,4.135416666666667,0.11328125,9.184895833333334,0.16666666666666666
2021-01-09,ATL,619,619,0,0,0.0,0.0,-1.7059773828756057,-9.48626817447496,0.01938610662358643,0.006462035541195477,0.0,0.0,0.13570274636510501,0.011308562197092083,1.0969305331179322,0.024232633279483037,0.16478190630048464,0.008077544426494346
2021-01-10,ATL,770,767,3,0,0.003896103896103896,0.0,1.0117340286831813,-4.9921773142112125,0.03389830508474576,0.011734028683181226,0.7053455019556715,0.001303780964797914,1.7953063885267275,0.07301173402868318,1.485006518904824,0.03650586701434159,0.5110821382007823,0.01955671447196871
2021-01-11,ATL,755,755,0,0,0.0,0.0,0.4410596026490066,-8.104635761589403,0.045033112582781455,0.015894039735099338,0.0,0.0,0.271523178807947,0.018543046357615896,1.9059602649006622,0.051655629139072845,0.47019867549668876,0.017218543046357615
2021-01-12,ATL,655,655,0,0,0.0,0.0,-0.3847328244274809,-8.441221374045801,0.025954198473282442,0.013740458015267175,1.1419847328244275,0.0030534351145038168,0.13740458015267176,0.016793893129770993,1.7114503816793893,0.035114503816793895,0.059541984732824425,0.0030534351145038168
2021-01-13,ATL,666,664,2,3,0.003003003003003003,0.0045045045045045045,14.123493975903614,8.548192771084338,0.14457831325301204,0.09337349397590361,0.3358433734939759,0.004518072289156626,8.052710843373495,0.12650602409638553,4.751506024096385,0.07680722891566265,3.6671686746987953,0.058734939759036146
2021-01-14,ATL,770,770,0,1,0.0,0.0012987012987012987,-1.7727272727272727,-7.283116883116883,0.02727272727272727,0.00909090909090909,0.08441558441558442,0.0012987012987012987,0.5285714285714286,0.02987012987012987,0.961038961038961,0.02857142857142857,0.35454545454545455,0.006493506493506494
2021-01-15,ATL,771,771,0,2,0.0,0.0025940337224383916,0.8858625162127107,-4.9831387808041505,0.029831387808041506,0.009079118028534372,1.48378728923476,0.0025940337224383916,0.5447470817120622,0.029831387808041506,1.3618677042801557,0.03501945525291829,0.19584954604409857,0.009079118028534372
2021-01-16,ATL,620,620,0,0,0.0,0.0,-1.0596774193548386,-6.859677419354838,0.01935483870967742,0.00967741935483871,0.025806451612903226,0.0016129032258064516,0.1064516129032258,0.008064516129032258,1.185483870967742,0.03064516129032258,0.45161290322580644,0.004838709677419355
